Item_ID,Length (cm),Width (cm),Height (cm),Weight (kg),Orientation,Priority,Quantity
1,75,65,60,124,1,5,10
2,90,55,55,87,1,4,8
3,80,60,50,118,1,3,8
4,100,60,45,99,1,5,6
5,120,70,60,148,1,3,6
6,90,70,55,137,0,5,3
7,105,65,65,148,0,1,7
8,95,55,50,76,1,4,8
9,105,70,50,120,0,5,5
10,100,60,60,110,1,2,6
11,85,70,55,99,1,3,6
12,75,75,60,53,1,5,8
13,80,60,65,74,1,4,6
14,125,65,50,112,1,3,5
15,70,60,40,53,0,5,10
16,65,60,35,49,0,4,8
17,130,70,55,160,0,2,3
18,110,65,45,99,0,3,5
19,85,70,60,99,1,2,7
20,100,65,45,87,1,4,7
21,95,70,55,68,1,1,9
22,80,65,65,61,1,3,10
23,120,70,50,99,1,5,5
24,110,60,60,110,0,4,5
25,85,55,70,87,0,2,7
26,70,65,55,63,1,3,10
27,110,65,60,99,1,5,6
28,90,55,65,63,1,4,6
29,120,60,60,137,0,2,7
30,100,60,50,110,1,1,7
31,110,65,65,124,0,3,5
32,75,60,60,74,1,5,8
33,70,50,45,49,1,5,12
34,95,55,60,87,0,2,5
35,85,60,55,68,1,5,11
36,70,60,45,59,0,4,9
37,125,70,65,148,1,3,4
38,95,65,55,63,0,4,9
39,70,60,60,87,1,1,7
40,90,55,70,74,0,5,6
41,120,70,50,124,1,2,6
42,110,60,65,105,1,4,5
43,85,65,60,80,0,1,10
44,90,60,50,68,1,3,8
45,100,65,65,112,0,5,7
46,95,55,45,87,0,4,10
47,75,70,55,55,1,3,14
48,130,65,60,137,0,2,4
49,105,65,50,99,1,3,9
50,80,75,60,63,1,5,8
51,90,60,65,87,0,1,6
52,85,60,55,63,1,5,8
53,80,60,50,49,0,2,10
54,110,70,65,105,1,4,7
55,90,65,60,74,1,3,10
56,85,60,55,63,0,4,9
57,100,65,65,87,1,2,8
58,130,60,55,124,0,3,5
59,90,60,55,68,0,5,8
60,95,65,60,87,1,4,7
61,120,55,45,87,0,3,6
62,85,60,55,74,1,5,9
63,100,65,70,124,1,2,8
64,75,60,55,49,0,4,11
65,85,50,60,63,1,3,10
66,110,65,55,87,0,2,7
67,90,60,60,74,1,4,9
68,110,60,50,105,1,1,8
69,80,65,60,63,0,5,10
70,95,60,50,53,1,2,10
71,70,65,60,49,1,4,11
72,100,60,50,87,0,3,8
73,120,60,55,112,1,5,8
74,80,65,65,63,1,3,9
75,85,65,60,68,0,4,10
76,100,55,60,99,1,2,7
77,80,60,50,49,1,1,11
78,95,55,65,68,1,2,8
79,110,60,45,99,0,3,6
80,100,55,70,124,1,5,8
81,110,60,60,87,0,4,6
82,75,60,55,55,1,3,10
83,95,60,55,68,1,4,9
84,110,65,50,87,1,2,9
85,120,60,45,68,0,3,6
86,85,65,60,74,1,4,9
87,100,55,55,63,1,5,6
88,95,60,50,53,0,2,7
89,90,65,55,63,1,3,9
90,110,70,50,87,0,4,6
91,75,60,50,55,1,2,12
92,100,65,60,110,1,3,8
93,85,65,55,68,1,5,7
94,110,60,65,87,0,4,8
95,100,70,50,68,1,3,9
96,85,60,55,63,0,2,10
97,95,65,60,68,1,5,7
98,110,60,50,87,0,4,7
99,120,70,65,112,1,3,8
100,90,60,55,74,1,5,10
