Iteration,Best Score
1,5.00058209973374e+18
2,5.00058209973374e+18
3,5.00058209973374e+18
4,5.00058209973374e+18
5,5.00058209973374e+18
6,5.00058209973374e+18
7,5.00058209973374e+18
8,5.00058209973374e+18
9,5.00058209973374e+18
10,5.00058209973374e+18
11,5.00058209973374e+18
12,5.00058209973374e+18
13,5.00058209973374e+18
14,5.00058209973374e+18
15,5.00058209973374e+18
16,5.00058209973374e+18
17,5.00058209973374e+18
18,5.00058209973374e+18
19,5.00058209973374e+18
20,5.00058209973374e+18
21,5.00058209973374e+18
22,5.00058209973374e+18
23,5.00058209973374e+18
24,5.00058209973374e+18
25,5.00058209973374e+18
26,5.00058209973374e+18
27,5.00058209973374e+18
28,5.00058209973374e+18
29,5.00058209973374e+18
30,5.00058209973374e+18
31,5.00058209973374e+18
32,5.00058209973374e+18
33,5.00058209973374e+18
34,5.00058209973374e+18
35,5.00058209973374e+18
36,5.00058209973374e+18
37,5.00058209973374e+18
38,5.00058209973374e+18
39,5.00058209973374e+18
40,5.00058209973374e+18
41,5.00058209973374e+18
42,5.00058209973374e+18
43,5.00058209973374e+18
44,5.00058209973374e+18
45,5.00058209973374e+18
46,5.00058209973374e+18
47,5.00058209973374e+18
48,5.00058209973374e+18
49,5.00058209973374e+18
50,5.00058209973374e+18
51,5.00058209973374e+18
52,5.00058209973374e+18
53,1.9301531007965268e+18
54,1.9301531007965268e+18
55,1.9301531007965268e+18
56,1.9301531007965268e+18
57,1.9301531007965268e+18
58,1.9301531007965268e+18
59,1.9301531007965268e+18
60,1.9301531007965268e+18
61,1.9301531007965268e+18
62,1.9301531007965268e+18
63,1.9301531007965268e+18
64,1.9301531007965268e+18
65,1.9175137317311268e+18
66,1.9175137317311268e+18
67,1.9175137317311268e+18
68,1.9175137317311268e+18
69,1.9175137317311268e+18
70,1.9175137317311268e+18
71,1.9175137317311268e+18
72,1.9175137317311268e+18
73,1.9175137317311268e+18
74,1.9175137317311268e+18
75,1.9175137317311268e+18
76,1.7734545534916582e+18
77,1.7251097039862085e+18
78,1.7251097039862085e+18
79,1.7251097039862085e+18
80,1.7251097039862085e+18
81,1.7251097039862085e+18
82,1.7251097039862085e+18
83,1.7251097039862085e+18
84,1.7251097039862085e+18
85,1.7251097039862085e+18
86,1.7251097039862085e+18
87,1.7251097039862085e+18
88,1.7251097039862085e+18
89,1.7251097039862085e+18
90,1.7251097039862085e+18
91,1.7251097039862085e+18
92,1.7251097039862085e+18
93,1.7251097039862085e+18
94,1.7251097039862085e+18
95,1.7251097039862085e+18
96,1.7251097039862085e+18
97,1.7251097039862085e+18
98,1.7251097039862085e+18
99,1.7251097039862085e+18
100,1.7251097039862085e+18
